OBJECTID,Id,StrNo,StrName,StrType,Unresolved,Address
1,0, ,HARRINGTON,STREET,CHURCH,
2,0, ,COMMERCIAL,STREET,PROGRESS HOUSE,
3,0, ,COMMERCIAL,STREET,POST OFFICE,
4,0, ,COMMERCIAL,STREET,NG KERK,
5,0,78,HARRINGTON,STREET,,
6,0,80,HARRINGTON,STREET,,
7,0,82,HARRINGTON,STREET,,
8,0,84,HARRINGTON,STREET,,
9,0,86,HARRINGTON,STREET,,
10,0,106,HARRINGTON,STREET,,
11,0,108,HARRINGTON,STREET,,
12,0, ,HARRINGTON,STREET,BUTLERS SQUARE,
13,0,103,HARRINGTON,STREET,,
14,0,105,HARRINGTON,STREET,,
15,0,107,HARRINGTON,STREET,,
16,0,109,HARRINGTON,STREET,,
17,0, ,COMMERCIAL,STREET,HOSTEL,
18,0, ,COMMERCIAL,STREET,HOSTEL,
19,0, ,COMMERCIAL,STREET,CAR PARK,
20,0,75,HARRINGTON,STREET,,
21,0,95,CANTERBURY,STREET,,
22,0,97,CANTERBURY,STREET,,
23,0,99,CANTERBURY,STREET,,
24,0,101,CANTERBURY,STREET,,
25,0,103,CANTERBURY,STREET,,
26,0,105,CANTERBURY,STREET,,
27,0, ,CANTERBURY,STREET,HOTEL,
28,0,114,CANTERBURY,STREET,,
29,0,68,CANTERBURY,STREET,,
30,0,150,BARRACK,STREET,,
31,0,152,BARRACK,STREET,,
32,0,154,BARRACK,STREET,,
33,0,156,BARRACK,STREET,,
34,0,98,CANTERBURY,STREET,,
35,0,320,BLOEMHOF,STREET,,
36,0, ,CANTERBURY,STREET,TAFELBERG HOTEL,
37,0, ,CANTERBURY,STREET,NUMBER NOT CLEAR,
38,0, ,CANTERBURY,STREET,NOT CLEAR,
39,0, ,CONSTITUTION,STREET,,
40,0,56,PRIMROSE,STREET,,
41,0,58,PRIMROSE,STREET,,
42,0,60,PRIMROSE,STREET,,
43,0,62,PRIMROSE,STREET,,
44,0,52,PRIMROSE,STREET,,
