Name,Type
ALBERT,STREET
ALBERTUS,STREET
ARMADALE,STREET
ARUNDEL,STREET
ASHLEY,STREET
ASPELING,STREET
AYRE,STREET
BALFOUR,STREET
BALFOUR,STREET
BALIMORAL,STREET
BARON,STREET
BARRACK,STREET
BARRACK,STREET
BASKET,LANE
BIRCHINGTON,ROAD
BLOEMHOF,STREET
BLYNNDALE,STREET
BLYTHE,STREET
BRIDGE,STREET
BROOK,STREET
BRUCE,STREET
BUITENKANT,STREET
CALEDON,STREET
CAMBRIDGE,STREET
CANNON,STREET
CANTURBURY,STREET
CASTLE,STREET
CAUVIN,ROAD
CHAPEL,STREET
CHATHAM,ROAD
CHESTER,ROAD
CLIFTON,STREET
CLYDE,STREET
COLLEGE,STREET
COMBRINK,STREET
COMMERCIAL,STREET
CONSTITUTION,STREET
CORNWELL,STREET
COWLEY,STREET
CROSS,STREET
DANKWORTH,STREET
DARLING,STREET
DE KORTE,STREET
DE VILLIERS,STREET
DE WAALS,DRIVE
DORMEHL,LANE
DORSET,STREET
DOSEN,LANE
DOVER,STREET
DRURY,LANE
DUFF'S,LANE
ECKARD,STREET
ELLESMERE,STREET
ERITH,ROAD
FAWLEY,TERRACE
FRANCIS,STREET
FRERE,STREET
GEELONG,STREET
GLOUCESTER,ROAD
GLYNN,STREET
GODFREY,STREET
GORE,STREET
GRAY,STREET
GRAY,STREET
HANOVER,STREET
HARRINGTON,STREET
HIGH,STREET
HORSTLEY,STREET
HYDE,STREET
INVERY,PLACE
JOHNSON,STREET
KENT,STREET
LAVENDER,HILL
LEE,STREET
LEGER,STREET
LESAR,STREET
LEVER,ROAD
LEWIN,STREET
LEWIS,STREET
LITTLE LESAR,STREET
LOCH,STREET
LOCH,STREET
LONGMARKET,STREET
MAIDSTONE,STREET
MARSDEN,ROAD
MARTIN,STREET
MC GREGOR,STREET
MCKENZIE,STREET
MILLAN,ROAD
MINCING,LANE
MOUNT,STREET
MUIR,STREET
NAIRN,STREET
NELSON,STREET
NEW MARKET,STREET
NILE,STREET
OAK,STREET
OSBORNE,STREET
OXFORD,STREET
PARKIN,STREET
PEDERSEN,STREET
PERTH,ROAD
PLYMOUTH,ROAD
PONTAC,STREET
PORTSMOUTH,ROAD
PREMIER,ROAD
PRIMROSE,STREET
PRINCESS,ROAD
PROSPECT,AVENUE
QUEEN,STREET
RAVENSCRAIG,ROAD
REFORM,STREET
REINBACH,STREET
RICHMOND,STREET
ROBINSON,STREET
ROCHESTER,ROAD
ROELAND,STREET
ROGER,STREET
ROOS,STREET
ROTTEN,ROW
RUSSEL,STREET
RUSSELL,STREET
RUTGER,STREET
SACKSVILLE,STREET
SCHNAAR,LANE
SEARLE,STREET
SELKAR,STREET
SELWYN,TERRACE
SHEPPARD,STREET
SHORT,STREET
SIDNEY,STREET
SIR LOWRY,ROAD
SMART,STREET
SPRINGFIELD,STREET
ST PHILLIPS,STREET
ST VINCENT,STREET
STIRLING,STREET
STONE,STREET
STUCKERIS,STREET
SUMMER,HILL
TENNANT,STREET
THOMAS,STREET
TILBURY,STREET
TYNE,STREET
UPPER ASHLEY,STREET
UPPER CONSTITUTION,STREET
UPPER DARLING,STREET
VAN DE LEUR,STREET
VERNON,TERRACE
VIRGINIA,STREET
VIRGINIA,STREET
VOGELZANG,STREET
WARWICK,ROAD
WATERLOO,STREET
WICHT,STREET
WILLIAM,STREET
WINDSOR,STREET
WORCESTER,ROAD
YARRA,STREET
