StreetName,Count,Match
11TH AVENUE,2,False
4TH,1,False
6TH,1,False
8TH,2,False
ADAM,6,True
ALBERT,12,True
ALMAR,1,False
AMSTERDAM,3,False
ANDERSEN,1,False
ARENDEL,1,False
ARINDEL,1,False
ARMSKIRK,1,False
ARUNDEL,5,True
ARYE,3,False
ASHLEY,2,True
ASPELING,19,True
ASPLING,1,False
AYNE,4,False
AYRE,9,True
BALFOUR,1,True
BALIMORAL,2,True
BALMORAL,4,False
BARRACK,2,True
BASKET,1,True
BEANFORT,1,False
BEVERLEY,1,False
BEYES,1,False
BLOEM,1,False
BLOEMHOF,2,True
BLYMOUTH,1,False
BLYTH,1,False
BLYTHE,2,True
BREE,1,False
BRIDGE,4,True
BRONEWELL,1,False
BROWN,7,False
BRUCE,5,True
BRUNT,1,False
BRYANT,1,False
BUCHANAN,1,False
BUITENKANT,1,True
BURWOOD,1,False
CALEDON,39,True
CALLEGE,2,False
CAMBORNE,1,False
CAMBRIDGE,8,True
CANNIN,1,False
CANNON,10,True
CANTEBURY,2,False
CANTERBURY,17,True
CENTERBURY,2,False
CHAMBERLAIN,2,False
CHAPEL,21,True
CHATHAM,18,True
CHATHAN,1,False
CHESTER,8,True
CHURCH,2,False
CHYDE,1,False
CLATHAM,2,False
CLIFTON,4,True
CLYDE,1,True
COFFEE,10,False
COLLEGE,9,True
COMBRINCK,2,False
COMBRINK,2,True
COMMON,1,False
CONSTITUTION,69,True
CORONATION,2,False
COUST,1,False
COVENTON,1,False
COVENTRY,1,False
COWLEY,2,True
CROSS,3,True
DARLING,1,True
DE KORTE,4,False
DE KORTES,2,False
DE RODES,1,False
DE VIELIER,1,False
DE VILLERS,1,False
DE VILLIEN,2,False
DE VILLIER,3,False
DE VILLIERS,23,False
DE VILLIES,1,False
DE WAAL,2,False
DEKORTE,2,False
DENNE,1,False
DEUCHWONK,1,False
DEVILLES,2,False
DEVILLIERS,3,False
DEWAAL,1,False
DORP,4,False
DOVER,2,True
DR ABDURAMAN,1,False
DR. ABDARAMAN,1,False
DRURY,1,True
DUFF,1,False
DUKE,13,False
DUNCAN,1,False
EARTH,1,False
EATON,3,False
ECKARD,9,True
ECKARDT,1,False
ECKHARD,2,False
ECKHARDT,5,False
ELIZABETH,1,False
ELKHARDT,1,False
ERITH,1,True
ESSET,1,False
EXNER,1,False
FIFTH,1,False
FILBURG,1,False
FIRST,2,False
FOURTH,1,False
FRANCIS,3,True
FRERE,2,True
GAY,1,False
GLOUCESTER,5,True
GLYNN,4,True
GODFREY,12,True
GOOFFREY,1,False
GORE,1,True
GRAHAM,1,False
GRAND VIEW,5,False
GRAND VUE,2,False
GRANDVIEW,1,False
GRANDVIEWS,1,False
GRANT,2,False
GRAY,10,True
GREY,3,False
GYMPIE,4,False
HAMERKOPWY,1,False
HAMILTON,1,False
HANOVER,29,True
HARDING,1,False
HAROLDENE,1,False
HARRINGTON,12,True
HIERLING,1,False
HIGH,5,True
HORSBERG,1,False
HORSBERGH,1,False
HORSBURG,3,False
HORSTLEY,14,True
HOSBURGH,1,False
HOUT,1,False
HUGO,1,False
HYDE,3,True
INVERY,1,True
IRENE,5,False
JAMIESON,1,False
JAMISON,1,False
JAMISSON,1,False
JOHNS,1,False
JOHNSON,3,True
JONKET,1,False
JOPPLAN,1,False
KENDAL,1,False
KENT,10,True
KEPPEL,1,False
KIEWIEBURY,1,False
KIPLING,1,False
KITCHEN,1,False
KITCHENER,2,False
KLAPPERBOS,1,False
KLEIK,1,False
KLIP,1,False
KLIPFONTEIN,1,False
