OBJECTID,Id,StrNo,StrName,StrType,Unresolved,Address
1,0,78,HARRINGTON,STREET,,78 HARRINGTON
2,0,80,HARRINGTON,STREET,,80 HARRINGTON
3,0,82,HARRINGTON,STREET,,82 HARRINGTON
4,0,84,HARRINGTON,STREET,,84 HARRINGTON
5,0,86,HARRINGTON,STREET,,86 HARRINGTON
6,0,106,HARRINGTON,STREET,,106 HARRINGTON
7,0,108,HARRINGTON,STREET,,108 HARRINGTON
8,0,103,HARRINGTON,STREET,,103 HARRINGTON
9,0,105,HARRINGTON,STREET,,105 HARRINGTON
10,0,107,HARRINGTON,STREET,,107 HARRINGTON
11,0,109,HARRINGTON,STREET,,109 HARRINGTON
12,0,75,HARRINGTON,STREET,,75 HARRINGTON
13,0,95,CANTERBURY,STREET,,95 CANTERBURY
14,0,97,CANTERBURY,STREET,,97 CANTERBURY
15,0,99,CANTERBURY,STREET,,99 CANTERBURY
16,0,101,CANTERBURY,STREET,,101 CANTERBURY
17,0,103,CANTERBURY,STREET,,103 CANTERBURY
18,0,105,CANTERBURY,STREET,,105 CANTERBURY
19,0,114,CANTERBURY,STREET,,114 CANTERBURY
20,0,68,CANTERBURY,STREET,,68 CANTERBURY
21,0,150,BARRACK,STREET,,150 BARRACK
22,0,152,BARRACK,STREET,,152 BARRACK
23,0,154,BARRACK,STREET,,154 BARRACK
24,0,156,BARRACK,STREET,,156 BARRACK
25,0,98,CANTERBURY,STREET,,98 CANTERBURY
26,0,320,BLOEMHOF,STREET,,320 BLOEMHOF
27,0,56,PRIMROSE,STREET,,56 PRIMROSE
28,0,58,PRIMROSE,STREET,,58 PRIMROSE
29,0,60,PRIMROSE,STREET,,60 PRIMROSE
30,0,62,PRIMROSE,STREET,,62 PRIMROSE
31,0,52,PRIMROSE,STREET,,52 PRIMROSE
32,0,17,VERNON,TERRACE,,17 VERNON
33,0,19,VERNON,TERRACE,,19 VERNON
34,0,21,VERNON,TERRACE,,21 VERNON
35,0,23,VERNON,TERRACE,,23 VERNON
36,0,25,VERNON,TERRACE,,25 VERNON
37,0,27,VERNON,TERRACE,,27 VERNON
38,0,29,VERNON,TERRACE,,29 VERNON
39,0,14,VERNON,TERRACE,,14 VERNON
40,0,16,VERNON,TERRACE,,16 VERNON
41,0,18,VERNON,TERRACE,,18 VERNON
42,0,20,VERNON,TERRACE,,20 VERNON
43,0,24,VERNON,TERRACE,,24 VERNON
44,0,26,VERNON,TERRACE,,26 VERNON
45,0,28,VERNON,TERRACE,,28 VERNON
46,0,39,MOUNT,STREET,,39 MOUNT
47,0,41,MOUNT,STREET,,41 MOUNT
48,0,43,MOUNT,STREET,,43 MOUNT
49,0,45,MOUNT,STREET,,45 MOUNT
50,0,47,MOUNT,STREET,,47 MOUNT
51,0,51,MOUNT,STREET,,51 MOUNT
52,0,53,MOUNT,STREET,,53 MOUNT
53,0,55,MOUNT,STREET,,55 MOUNT
54,0,57,MOUNT,STREET,,57 MOUNT
55,0,59,MOUNT,STREET,,59 MOUNT
56,0,61,MOUNT,STREET,,61 MOUNT
57,0,12,VERNON,TERRACE,,12 VERNON
58,0,38,CALEDON,STREET,,38 CALEDON
59,0,40,CALEDON,STREET,,40 CALEDON
60,0,48,CALEDON,STREET,,48 CALEDON
61,0,50,CALEDON,STREET,,50 CALEDON
62,0,52,CALEDON,STREET,,52 CALEDON
63,0,54,CALEDON,STREET,,54 CALEDON
64,0,56,CALEDON,STREET,,56 CALEDON
65,0,58,CALEDON,STREET,,58 CALEDON
66,0,15,BUITENKANT,STREET,,15 BUITENKANT
67,0,62,DARLING,STREET,,62 DARLING
68,0,58,DARLING,STREET,,58 DARLING
69,0,64,DARLING,STREET,,64 DARLING
70,0,56,DARLING,STREET,,56 DARLING
71,0,10,HARRINGTON,STREET,,10 HARRINGTON
72,0,66,DARLING,STREET,,66 DARLING
73,0,68,DARLING,STREET,,68 DARLING
74,0,70,DARLING,STREET,,70 DARLING
75,0,72,DARLING,STREET,,72 DARLING
76,0,74,DARLING,STREET,,74 DARLING
77,0,76,DARLING,STREET,,76 DARLING
78,0,78,DARLING,STREET,,78 DARLING
79,0,80,DARLING,STREET,,80 DARLING
80,0,82,DARLING,STREET,,82 DARLING
81,0,68b,LONGMARKET,STREET,,68b LONGMARKET
82,0,68a,LONGMARKET,STREET,,68a LONGMARKET
83,0,68,LONGMARKET,STREET,,68 LONGMARKET
84,0,7,CANTERBURY,STREET,,7 CANTERBURY
85,0,77-81,LONGMARKET,STREET,PUBLIC WORKS DEPARTMENT,77-81 LONGMARKET
86,0,23-27,HARRINGTON,STREET,BAR,23-27 HARRINGTON
87,0,37,HARRINGTON,STREET,,37 HARRINGTON
88,0,23,CALEDON,STREET,,23 CALEDON
89,0,25,CALEDON,STREET,,25 CALEDON
90,0,27,CALEDON,STREET,,27 CALEDON
91,0,68,CALEDON,STREET,,68 CALEDON
92,0,62,CALEDON,STREET,,62 CALEDON
93,0,60,CALEDON,STREET,,60 CALEDON
94,0,41,HARRINGTON,STREET,,41 HARRINGTON
95,0,43,HARRINGTON,STREET,,43 HARRINGTON
96,0,45,HARRINGTON,STREET,,45 HARRINGTON
97,0,30,HARRINGTON,STREET,,30 HARRINGTON
98,0,28,HARRINGTON,STREET,,28 HARRINGTON
99,0,16,HARRINGTON,STREET,,16 HARRINGTON
100,0,29,CALEDON,STREET,,29 CALEDON
101,0,13,BUITENKANT,STREET,,13 BUITENKANT
102,0,9,CANTERBURY,STREET,,9 CANTERBURY
103,0,11,CANTERBURY,STREET,,11 CANTERBURY
104,0,13,CANTERBURY,STREET,,13 CANTERBURY
105,0,15,CANTERBURY,STREET,,15 CANTERBURY
106,0,17,CANTERBURY,STREET,,17 CANTERBURY
107,0,19,CANTERBURY,STREET,,19 CANTERBURY
108,0,5,CANTERBURY,STREET,,5 CANTERBURY
109,0,2,CANTERBURY,STREET,,2 CANTERBURY
110,0,22,CANTERBURY,STREET,,22 CANTERBURY
111,0,24,LONGMARKET,STREET,,24 LONGMARKET
112,0,38,CALEDON,STREET,,38 CALEDON
113,0,40,CALEDON,STREET,,40 CALEDON
114,0,48,CALEDON,STREET,,48 CALEDON
115,0,50,CALEDON,STREET,,50 CALEDON
116,0,34,HARRINGTON,STREET,,34 HARRINGTON
117,0,32,HARRINGTON,STREET,,32 HARRINGTON
118,0,70,CALEDON,STREET,,70 CALEDON
119,0,72,CALEDON,STREET,,72 CALEDON
120,0,74,CALEDON,GLYNNDALE,,74 CALEDON
121,0,78,CALEDON,STREET,,78 CALEDON
122,0,80,CALEDON,STREET,,80 CALEDON
123,0,82,CALEDON,STREET,,82 CALEDON
124,0,53,HARRINGTON,STREET,,53 HARRINGTON
125,0,54,HARRINGTON,STREET,,54 HARRINGTON
126,0,38,GLYNNDALE,STREET,,38 GLYNNDALE
127,0,36,GLYNNDALE,STREET,,36 GLYNNDALE
128,0,40,CONSTITUTION,STREET,,40 CONSTITUTION
129,0,42,CONSTITUTION,STREET,,42 CONSTITUTION
130,0,6,GLYNNDALE,STREET,,6 GLYNNDALE
131,0,76,CALEDON,GLYNNDALE,,76 CALEDON
132,0,9,GLYNNDALE,STREET,,9 GLYNNDALE
133,0,11,GLYNNDALE,STREET,,11 GLYNNDALE
134,0,13,GLYNNDALE,STREET,,13 GLYNNDALE
135,0,15,GLYNNDALE,STREET,,15 GLYNNDALE
136,0,49,HARRINGTON,STREET,,49 HARRINGTON
137,0,29,CALEDON,STREET,,29 CALEDON
138,0,31,CALEDON,STREET,,31 CALEDON
139,0,33,CALEDON,STREET,,33 CALEDON
140,0,35,CALEDON,STREET,,35 CALEDON
141,0,37,CALEDON,STREET,,37 CALEDON
142,0,39,CALEDON,STREET,,39 CALEDON
143,0,41,CALEDON,STREET,,41 CALEDON
144,0,53,CALEDON,STREET,,53 CALEDON
145,0,43,CALEDON,STREET,,43 CALEDON
146,0,45,CALEDON,STREET,,45 CALEDON
147,0,49,CALEDON,STREET,,49 CALEDON
148,0,51,CALEDON,STREET,,51 CALEDON
149,0,47,CALEDON,STREET,,47 CALEDON
150,0,84,CALEDON,STREET,,84 CALEDON
151,0,86,CALEDON,STREET,,86 CALEDON
152,0,88,CALEDON,STREET,,88 CALEDON
153,0,8,CANTERBURY,STREET,,8 CANTERBURY
154,0,10,CANTERBURY,STREET,,10 CANTERBURY
155,0,12,CANTERBURY,STREET,,12 CANTERBURY
156,0,14,CANTERBURY,STREET,,14 CANTERBURY
157,0,16,CANTERBURY,STREET,,16 CANTERBURY
158,0,23,CANTERBURY,STREET,,23 CANTERBURY
159,0,25,CANTERBURY,STREET,,25 CANTERBURY
160,0,27,CANTERBURY,STREET,,27 CANTERBURY
161,0,29,CANTERBURY,STREET,,29 CANTERBURY
162,0,31,CANTERBURY,STREET,,31 CANTERBURY
163,0,33,CANTERBURY,STREET,,33 CANTERBURY
164,0,18,PRIMROSE,STREET,,18 PRIMROSE
165,0,20,PRIMROSE,STREET,,20 PRIMROSE
166,0,22,PRIMROSE,STREET,,22 PRIMROSE
167,0,26,PRIMROSE,STREET,,26 PRIMROSE
168,0,24,PRIMROSE,STREET,,24 PRIMROSE
169,0,28,PRIMROSE,STREET,,28 PRIMROSE
170,0,30,PRIMROSE,STREET,,30 PRIMROSE
171,0,32,PRIMROSE,STREET,,32 PRIMROSE
172,0,34,PRIMROSE,STREET,,34 PRIMROSE
173,0,36,PRIMROSE,STREET,,36 PRIMROSE
174,0,16,PRIMROSE,LONGMARK,,16 PRIMROSE
175,0,98,CALEDON,STREET,,98 CALEDON
176,0,92,CALEDON,STREET,,92 CALEDON
177,0,94,CALEDON,STREET,,94 CALEDON
178,0,96,CALEDON,STREET,,96 CALEDON
179,0,40,PRIMROSE,STREET,,40 PRIMROSE
180,0,42,PRIMROSE,STREET,,42 PRIMROSE
181,0,44,PRIMROSE,STREET,,44 PRIMROSE
182,0,49,CANTERBURY,STREET,,49 CANTERBURY
183,0,51,CANTERBURY,STREET,,51 CANTERBURY
184,0,55,CANTERBURY,STREET,,55 CANTERBURY
185,0,81,CALEDON,STREET,,81 CALEDON
186,0,73,CALEDON,STREET,,73 CALEDON
187,0,75,CALEDON,STREET,,75 CALEDON
188,0,77,CALEDON,STREET,,77 CALEDON
189,0,71,CALEDON,STREET,,71 CALEDON
190,0,20,REINBACH,STREET,,20 REINBACH
191,0,18,REINBACH,STREET,,18 REINBACH
192,0,52,MOUNT,STREET,,52 MOUNT
193,0,53,MOUNT,STREET,,53 MOUNT
194,0,34,CONSTITUTION,STREET,,34 CONSTITUTION
195,0,35,CONSTITUTION,STREET,,35 CONSTITUTION
196,0,44,VAN DE LEUR,STREET,,44 VAN DE LEUR
197,0,42,VAN DE LEUR,STREET,,42 VAN DE LEUR
198,0,38,VAN DE LEUR,STREET,,38 VAN DE LEUR
199,0,36,VAN DE LEUR,STREET,,36 VAN DE LEUR
200,0,76,VAN DE LEUR,STREET,,76 VAN DE LEUR
201,0,79,VAN DE LEUR,STREET,,79 VAN DE LEUR
202,0,19,DE KORTE,STREET,,19 DE KORTE
203,0,39,VAN DE LEUR,STREET,,39 VAN DE LEUR
204,0,41,VAN DE LEUR,STREET,,41 VAN DE LEUR
205,0,43,VAN DE LEUR,STREET,,43 VAN DE LEUR
206,0,45,CONSTITUTION,STREET,,45 CONSTITUTION
