StreetName,Count,Match
ADAM,6,False
ALBERT,9,True
AMSTERDAM,3,False
ARENDEL,1,False
ARINDEL,1,False
ARUNDEL,5,True
ARYE,3,False
ASHLEY,2,True
ASPELING,19,True
ASPLING,1,False
AYNE,4,False
AYRE,9,True
BALIMORAL,2,True
BALMORAL,4,False
BARRACK,2,True
BASKET,1,False
BLOEM,1,False
BLOEMHOF,2,True
BLYMOUTH,1,False
BLYTH,1,False
BLYTHE,2,False
BREE,1,False
BRIDGE,3,False
BROWN,7,False
BRUCE,5,True
BRYANT,1,False
BUCHANAN,1,False
BUITENKANT,1,True
CALEDON,39,True
CALLEGE,2,False
CAMBORNE,1,False
CAMBRIDGE,5,False
CANNIN,1,False
CANNON,10,True
CANTEBURY,2,False
CANTERBURY,13,True
CENTERBURY,2,False
CHAPEL,20,True
CHATHAM,18,True
CHATHAN,1,False
CHESTER,4,False
CHYDE,1,False
CLATHAM,2,False
CLIFTON,4,True
CLYDE,1,False
COFFEE,10,False
COLLEGE,9,False
COMBRINCK,2,False
COMBRINK,2,True
COMMON,1,False
CONSTITUTION,69,True
CORONATION,2,False
COUST,1,False
COWLEY,2,True
CROSS,3,True
DARLING,1,True
DE KORTE,4,True
DE KORTES,2,False
DE RODES,1,False
DE VIELIER,1,False
DE VILLERS,1,False
DE VILLIEN,2,False
DE VILLIER,3,False
DE VILLIERS,23,True
DE VILLIES,1,False
DE WAAL,1,False
DEKORTE,2,False
DEVILLES,2,False
DEVILLIERS,3,False
DORP,4,False
DOVER,2,True
DRURY,1,False
DUFF,1,False
DUKE,1,False
EARTH,1,False
EATON,3,False
ECKARD,9,True
ECKARDT,1,False
ECKHARD,2,False
ECKHARDT,5,False
ELKHARDT,1,False
ERITH,1,False
EXNER,1,False
FILBURG,1,False
FRANCIS,3,False
FRERE,2,True
GAY,1,False
GLOUCESTER,4,False
GLYNN,3,False
GODFREY,12,True
GOOFFREY,1,False
GORE,1,True
GRAHAM,1,False
GRANDVIEWS,1,False
GRAY,7,True
HANOVER,29,True
HARDING,1,False
HARRINGTON,10,True
HIERLING,1,False
HIGH,5,False
HORSBERG,1,False
HORSBERGH,1,False
HORSBURG,3,True
HORSTLEY,14,True
HOSBURGH,1,False
HOUT,1,False
HYDE,3,True
INVERY,1,False
IRENE,5,False
JAMIESON,1,False
JAMISON,1,False
JAMISSON,1,False
JOHNSON,3,True
KENT,10,False
LAVENDER,16,True
LAVENDER HILL,1,False
LEE,13,True
LESER,1,False
LESS,1,False
LEVER,2,False
LEWIS,7,True
LION,1,False
LOADE,1,False
LOADER,3,False
LOCH,2,True
LOCK,3,False
LOEH,2,False
LONGMARKET,13,True
LOOP,1,False
MARRIETTE,1,False
MARRIOTT,1,False
MARSDEN,1,False
MAYNARD,1,False
MCGREGOR,7,True
MCINTYRE,4,False
MCKENZIE,10,True
MILAN,3,False
MILLAN,2,False
MILTON,4,True
MORENT,1,False
MORLAND TERRACE,1,False
MOUNT,15,True
MUIR,1,True
NAPIER,1,False
NEW CHURCH,2,False
NEW MARKET,2,False
NEWMARK,1,False
NEWMARKET,3,False
NILE,8,True
NULTON,1,False
OAK,4,True
OFF ALBERT,1,False
OSBORNE,2,False
OSEFORD,1,False
OXFORD,4,False
PARDIN,1,False
PARKIN,13,True
PARKINS,1,False
PARLEIN,3,False
PEDERSEN,8,True
PERTH,1,False
PETERSEN,1,False
PLYMOUTH,9,True
PONTAC,5,True
PONTIAC,1,False
PRIMROSE,9,True
PRINCESS,4,False
PRINSON,1,False
PROSPECT,7,True
QUEEN,8,True
RAVEMERAIJ,1,False
RAVENSCRAIG,2,False
REFORM,5,True
RICHARD,1,False
RICHMOND,13,True
RIEBECK,1,False
ROBINSON,3,True
ROCHESTER,4,True
ROELAND,10,False
ROGER,10,True
ROOS,10,True
ROSE,1,False
RUGTER,2,False
RUSSELL,18,True
RUTGEN,1,False
RUTGER,7,True
RUTGERS,1,False
SACKVILLE,19,False
SELKIRK,1,True
SELTARK,1,False
SHAUD,1,False
SHEPHERD,1,False
SHEPPARD,6,True
SHEPPARTD,1,False
SHULKERIS,1,False
SIDNEY,7,True
SIR LOWRY,20,True
SIRDOWRY,1,False
SMART,17,True
SOREY,1,True
SORREY,1,False
SPRINGFELD,1,False
SPRINGFIELD,19,True
SPRINGFIELD TERRACE OFF PONTIAC,1,False
ST LEDGER,2,False
ST LEGER,1,False
ST PHILIP'S,1,False
ST THOMAS,1,False
ST VINCENT,2,False
ST. VINCENT,1,False
ST.PHILLIPS,1,False
STERLING,1,False
STIRLING,21,True
STONE,22,True
STOVE,1,False
STRAND,1,False
STUART,1,False
STUCKER'S,1,False
STUCKERIS,5,True
SUFFALK,1,False
SUMMER,2,True
SYDNEY,1,False
TENANT,1,False
TENNANT,13,True
TILBURY,3,False
TYNE,1,True
UPPER ASHELY,1,False
UPPER ASHLEY,18,True
UPPER CANTEBURY,1,False
UPPER CANTERBURY,2,False
UPPER CHURCH,2,False
UPPER CONSTITUTION,7,True
UPPER HARRINGTON,1,False
UPPER NELSON,3,False
UPPER WARWICK,1,False
VAN DE LEUR,11,True
VAN DER LEUR,2,False
VAN DER MEULEN,2,False
VANDELAUS,2,False
VERNON,6,True
VICTORIA,1,False
VIRGINA,1,False
VIRGINIA,7,True
VOGELGESANT,2,False
VOGELGEZANG,1,False
VREDE,3,False
WATERKANT,2,False
WATERLOO,1,False
WICHT,8,True
WILLIAM,67,True
WILLIAMS,5,False
WINDSER,1,False
WINDSOR,4,True
WISHT,1,False
WORCESTER,3,False
YREDE,1,False
