StreetName,Count,Match
DR ABDURAMAN,1,False
SPRINGFELD,1,False
VAN DE LEUR,11,False
RUTGERS,1,False
HYDE,3,True
ROELAND,10,True
LEWIS,7,True
TENNANT,13,True
WORCESTER,5,True
NILE,8,True
CHATHAN,1,False
CHATHAM,18,True
CANTERBURY,17,True
DORP,4,False
VICTORIA,7,False
LION,1,False
ROGER,10,True
ECKHARDT,5,False
UPPER CANTEBURY,1,False
CAMBRIDGE,8,True
REGENT,1,False
CLIFTON,4,True
COMBRINCK,2,False
COLLEGE,9,True
MARIGOLD,1,False
LOOP,1,False
ARYE,3,False
HANOVER,29,True
MORLAND TERRACE,1,False
CLYDE,1,True
ROUWKOP,1,False
ST LEDGER,2,False
DRURY,1,True
BALMORAL,4,False
RICHMOND,13,True
COMMON,1,False
RIEBACK,2,False
VAN DER MEULEN,2,False
LONGMARKET,13,True
UPPER HARRINGTON,1,False
ST JOHN'S,1,False
VREDE,3,False
VOGELGESANT,2,False
HARDING,1,False
COVENTRY,1,False
KEPPEL,1,False
OSBORNE,2,True
FOURTH,1,False
FIRST,2,False
COWLEY,2,True
CORONATION,2,False
DR. ABDARAMAN,1,False
OFF ALBERT,1,False
SHEPPARD,6,True
GRAND VIEW,5,False
FRERE,2,True
ECKARDT,1,False
TYNE,1,True
CAMBORNE,1,False
JAMISSON,1,False
KITCHEN,1,False
SHEPHERD,1,False
COUST,1,False
WATERKANT,2,False
BEYES,1,False
MOUNT,16,True
VINE,3,False
LAVENDER,16,True
BLYTH,1,False
QUEEN'S,1,False
RAVEMERAIJ,1,False
VRIENDE,1,False
DEUCHWONK,1,False
PRIMROSE,9,True
CALLEGE,2,False
QUEEN,8,True
KLIPFONTEIN,1,False
DUKE,13,False
BEVERLEY,1,False
HORSBERG,1,False
GRAHAM,1,False
ESSET,1,False
GLYNN,4,True
ANDERSEN,1,False
COMBRINK,2,True
6TH,1,False
ECKHARD,2,False
HAMERKOPWY,1,False
STUART,1,False
ASPLING,1,False
LOEH,2,False
JONKET,1,False
STATION,1,False
SIR LOWRY,20,False
SMART,17,True
WATERLOO,1,True
GAY,1,False
INVERY,1,True
STUCKERIS,5,True
EATON,3,False
PETERSEN,1,False
MAYNARD,1,False
HUGO,1,False
HIERLING,1,False
LESS,1,False
NEWMARK,1,False
WICHT,8,True
TOBUIR ROAD,1,False
SPRINGFIELD TERRACE OFF PONTIAC,1,False
MAWSEU,1,False
HORSBURG,3,False
MAPINE,1,False
GOOFFREY,1,False
HIGH,5,True
MAWSEN,1,False
ROBINSON,3,True
DOVER,2,True
ROSE,2,False
NEWMARKET,5,False
BLYMOUTH,1,False
WILLIAMS,6,False
TEMATON ROAD,1,False
ST.PHILLIPS,1,False
CHESTER,8,True
MCKENZIE,10,True
MILLAN,2,True
RIEBECK,1,False
BRYANT,1,False
ADAM,6,True
AMSTERDAM,3,False
WEAVER,1,False
BUCHANAN,1,False
DE VILLERS,1,False
GORE,1,True
DARLING,1,True
HORSTLEY,14,True
