Street,ID,Match
CALEDON,vol16_137.tif-3,True
LONGMARKET,vol16_137.tif-2,True
NEWMARKET,vol16_137.tif-1,False
CALEDON,vol16_137.tif-4,True
WILLIAM,vol16_295.tif-4,True
DE VILLERS,vol16_295.tif-1,False
RUTGEN,vol16_295.tif-2,False
WINDSER,vol16_295.tif-3,False
LEWIS,vol16_155.tif-4,True
ST VINCENT,vol16_155.tif-3,True
BRUCE,vol16_155.tif-2,True
HANOVER,vol16_155.tif-1,True
ST LEDGER,vol16_064.tif-4,False
LEE,vol16_064.tif-2,True
GRAY,vol16_064.tif-3,True
WILLIAM,vol16_064.tif-1,True
MCKENZIE,vol16_016.tif-4,True
PRIMROSE,vol16_054.tif-3,True
OXFORD,vol16_054.tif-2,True
ALBERT,vol16_054.tif-1,True
TENNANT,vol16_054.tif-4,True
KLOOF NEK,vol16_032.tif-4,False
HANOVER,vol16_032.tif-3,True
BEVERLEY,vol16_032.tif-2,False
CONSTITUTION,vol16_032.tif-1,True
SIDNEY,vol16_238.tif-3,True
FILBURG,vol16_238.tif-2,False
,vol16_238.tif-1,False
,vol16_238.tif-4,False
HORSBERGH,vol16_392.tif-2,False
MOUNT,vol16_392.tif-3,True
STONE,vol16_392.tif-1,True
,vol16_048.tif-1,False
OXFORD,vol16_048.tif-2,True
ARUNDEL,vol16_048.tif-3,True
CONSTITUTION,vol16_048.tif-4,True
CONSTITUTION,vol16_305.tif-2,True
WILLIAM,vol16_305.tif-3,True
WILLIAM,vol16_305.tif-1,True
WILLIAM,vol16_305.tif-4,True
DE KORTE,vol16_259.tif-4,True
DE VILLIER,vol16_259.tif-1,False
WATERKANT,vol16_259.tif-2,False
KENDAL,vol16_259.tif-3,False
,vol16_315.tif-4,False
SHEPPARTD,vol16_315.tif-1,False
HUGO,vol16_315.tif-3,False
BLOEMHOF,vol16_315.tif-2,True
CANNON,vol16_124.tif-3,True
CONSTITUTION,vol16_124.tif-2,True
PRIMROSE,vol16_124.tif-1,True
SPRINGFIELD TERRACE OFF PONTIAC,vol16_196.tif-1,False
4TH,vol16_196.tif-2,False
MOUNT,vol16_124.tif-4,True
CHAPEL,vol16_089.tif-1,True
,vol16_145.tif-4,False
ECKARD,vol16_145.tif-1,True
,vol16_145.tif-2,False
STONE,vol16_145.tif-3,True
RICHMOND,vol16_089.tif-2,True
SIR LOWRY,vol16_191.tif-4,True
LAVENDER,vol16_191.tif-3,True
LAVENDER,vol16_191.tif-2,True
MCKENZIE,vol16_191.tif-1,True
,vol16_018.tif-3,False
LOADE,vol16_018.tif-2,False
LONGMARKET,vol16_018.tif-1,True
MCINTYRE,vol16_018.tif-4,False
